trial_num,transform,feature,builder_name,config_name,model_id,dataset_size,alignment_score,fluency_score,grammaticality_score,semantic_diversity,syntactic_diversity,morphological_diversity,mattr_diversity,unique_bigram_diversity,aug_time,a_time,f_time,g_time,sem_time,syn_time,mor_time,mtr_time,ubi_time,total_time
0,0,0,ag_news,default,textattack/bert-base-uncased-ag-news,128,0.98920923,1.6993673994701792,inf,0.8846920704067188,0.8458616605048466,0.9695694871379152,0.8874315130632949,1.1309451528030763,2.3243753910064697,36.82614803314209,26.36022162437439,30.645373582839966,9.483243703842163,8.039234161376953,7.660619020462036,0.26563310623168945,0.3125417232513428,121.9173903465271
0,0,1,ag_news,default,textattack/bert-base-uncased-ag-news,128,0.99388784,1.489407960851232,inf,0.8853903300361393,0.8833056560169592,0.954629652749122,0.8881520335591775,1.1291549859831798,2.689401865005493,39.75826692581177,14.669731378555298,24.128787755966187,9.017388582229614,7.798476696014404,6.800396919250488,0.18750691413879395,0.5321023464202881,105.58205938339233
0,0,2,ag_news,default,textattack/bert-base-uncased-ag-news,128,0.9746577,1.6088281321996305,inf,0.8820843294284181,0.8067983172036447,0.9837208148283296,0.8887537376019523,1.130952380952381,2.111175060272217,34.53394150733948,13.690025806427002,23.640425205230713,8.462887287139893,6.9839067459106445,6.386445760726929,0.4375014305114746,0.2656264305114746,96.51193523406982
0,0,3,ag_news,default,textattack/bert-base-uncased-ag-news,128,1.0632099,1.5346492992743646,inf,0.8870445631235887,0.8334711288617099,0.9645374873365575,0.8929460323727367,1.1321746160064672,2.1096391677856445,35.77939820289612,14.411914110183716,22.575333833694458,9.533650636672974,7.520095586776733,6.737847089767456,0.18778061866760254,0.2812471389770508,99.13690638542175
0,0,4,ag_news,default,textattack/bert-base-uncased-ag-news,128,0.9712065,1.458306982711429,inf,0.8951960258426849,0.8314389215092294,0.9590146991559457,0.8994113828745918,1.1272015655577299,2.170910120010376,36.9281907081604,16.651289701461792,21.136996269226074,9.678500652313232,7.62558388710022,7.003780841827393,0.45377182960510254,0.2817108631134033,101.930734872818
0,0,5,ag_news,default,textattack/bert-base-uncased-ag-news,128,0.9788201,1.6639455136834087,inf,0.8855030852462592,0.9052741758344632,0.9838483735468141,0.8772164174120601,1.128780292409373,2.13025164604187,36.08680200576782,14.176381349563599,25.365113735198975,10.471480131149292,7.360390663146973,6.595047235488892,0.1875007152557373,0.2814035415649414,102.6543710231781
0,0,6,ag_news,default,textattack/bert-base-uncased-ag-news,128,0.9752033,1.4961283926815947,inf,0.8782859958953542,0.8212008283799667,0.9319996309670091,0.8850534826400546,1.128883543796352,2.147712469100952,36.98595571517944,18.474355697631836,21.28471565246582,10.566783428192139,7.657557487487793,6.926557302474976,0.20313191413879395,0.5312573909759521,104.7780270576477
0,0,7,ag_news,default,textattack/bert-base-uncased-ag-news,128,0.98769015,1.4968688136665314,inf,0.8922624681097094,0.8739826947390371,0.9635831026848947,0.9083424499183138,1.1253353775392871,2.1945855617523193,40.05330777168274,17.76968502998352,23.268030166625977,11.68438720703125,7.8301918506622314,7.378695726394653,0.4692552089691162,0.3281271457672119,110.97626566886902
0,0,8,ag_news,default,textattack/bert-base-uncased-ag-news,128,1.1740037,1.7242928322870963,inf,0.8729952455696046,0.826171721049718,0.9474426738195929,0.8901942345691263,1.1267966135065959,2.3085947036743164,38.815325021743774,17.35786533355713,22.28756308555603,10.67530632019043,7.655824422836304,6.992548227310181,0.20317983627319336,0.28125,106.57745695114136
0,0,9,ag_news,default,textattack/bert-base-uncased-ag-news,128,0.98862296,1.6403131413805314,inf,0.8856155568318533,0.8335226662212204,0.9396800410831687,0.883790929346449,1.1353602665556017,2.2588725090026855,37.11525082588196,15.017189502716064,26.8638756275177,9.816206455230713,7.46764349937439,6.799781084060669,0.45372581481933594,0.2812516689300537,106.07379698753357
