eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,run_num,technique,model_checkpoint,checkpoint,dataset_config,train_size,valid_size,test_size,run_time
0.586073100566864,0.6857798165137615,0.6874719474317311,0.6857798165137615,0.6860163396680635,22.7152,19.194,1.233,1.86,0,sibyl.fada_v2_InverseLikelihood_avg.550,bert-base-uncased,./pretrained/bert-base-uncased-glue_sst2_sibyl.fada_v2_InverseLikelihood_avg.550,"['glue', 'sst2']",428,436,436,906.6822049617767
0.7039523124694824,0.5298165137614679,0.5580753951241818,0.5298165137614679,0.5027534541487503,23.2879,18.722,1.202,1.27,0,sibyl.fada_v2_InverseLikelihood_sum.550,bert-base-uncased,./pretrained/bert-base-uncased-glue_sst2_sibyl.fada_v2_InverseLikelihood_sum.550,"['glue', 'sst2']",509,436,436,665.5676562786102
0.6858910322189331,0.5642201834862385,0.5635541348979017,0.5642201834862385,0.5458303991184315,23.1786,18.81,1.208,1.19,0,sibyl.fada_v2_LikelihoodShiftNeg_avg.550,bert-base-uncased,./pretrained/bert-base-uncased-glue_sst2_sibyl.fada_v2_LikelihoodShiftNeg_avg.550,"['glue', 'sst2']",424,436,436,556.5547895431519
0.7171485424041748,0.5275229357798165,0.2782804477737564,0.5275229357798165,0.3643551808689423,22.3575,19.501,1.252,1.07,0,sibyl.fada_v2_LikelihoodShiftNeg_sum.550,bert-base-uncased,./pretrained/bert-base-uncased-glue_sst2_sibyl.fada_v2_LikelihoodShiftNeg_sum.550,"['glue', 'sst2']",514,436,436,556.0191214084625
0.6557208895683289,0.5963302752293578,0.6032286340051135,0.5963302752293578,0.5951994048050399,23.0404,18.923,1.215,1.49,0,sibyl.fada_v2_LikelihoodShiftPos_avg.550,bert-base-uncased,./pretrained/bert-base-uncased-glue_sst2_sibyl.fada_v2_LikelihoodShiftPos_avg.550,"['glue', 'sst2']",422,436,436,715.4708364009857
0.6695466637611389,0.5848623853211009,0.5909934032363643,0.5848623853211009,0.5613180914976805,22.5446,19.339,1.242,1.17,0,sibyl.fada_v2_LikelihoodShiftPos_sum.550,bert-base-uncased,./pretrained/bert-base-uncased-glue_sst2_sibyl.fada_v2_LikelihoodShiftPos_sum.550,"['glue', 'sst2']",531,436,436,625.1420097351074
0.6810827255249023,0.5642201834862385,0.5750616007914525,0.5642201834862385,0.5600899186601794,22.8106,19.114,1.227,1.26,0,sibyl.fada_v2_Likelihood_avg.550,bert-base-uncased,./pretrained/bert-base-uncased-glue_sst2_sibyl.fada_v2_Likelihood_avg.550,"['glue', 'sst2']",431,436,436,634.8896656036377
0.6767216920852661,0.5711009174311926,0.5782968615908558,0.5711009174311926,0.5376084376906577,22.4575,19.414,1.247,1.18,0,sibyl.fada_v2_Likelihood_sum.550,bert-base-uncased,./pretrained/bert-base-uncased-glue_sst2_sibyl.fada_v2_Likelihood_sum.550,"['glue', 'sst2']",527,436,436,630.5141730308533
0.44864320755004883,0.8004587155963303,0.8216374514772897,0.8004587155963303,0.7988381774117198,22.7761,19.143,1.229,3.0,0,sibyl.fada_v2_Original.100,bert-base-uncased,./pretrained/bert-base-uncased-glue_sst2_sibyl.fada_v2_Original.100,"['glue', 'sst2']",100,436,436,894.7071957588196
0.691661536693573,0.5275229357798165,0.2782804477737564,0.5275229357798165,0.3643551808689423,0.53,822.628,52.829,1.68,1,sibyl.fada_v2_Original.50,prajjwal1/bert-tiny,./pretrained/prajjwal1/bert-tiny-glue_sst2_sibyl.fada_v2_Original.50,"['glue', 'sst2']",50,436,436,16.855237007141113
