timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2023-06-12T09:11:50,glue.sst2.Abbreviate.num_rows=100,113ad94f-fb89-42ac-9b2d-4bce8b083502,27.9815321,0.000167571,5.99E-06,22.5,30.033,5.9670825,0.000174189,0.00022313,4.42E-05,0.000441475,United States,USA,,,,Windows-10-10.0.22621-SP0,3.8.16,2.2.3,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,1,1 x NVIDIA GeForce RTX 2060,-97.822,37.751,15.91222,machine,N,1
2023-06-12T09:12:21,glue.sst2.AbbreviationInsertionEN.num_rows=100,bb7e28fa-1140-4191-8094-8f492cd19573,28.89812279,0.000178502,6.18E-06,22.5,31.171,5.9670825,0.000180169,0.000243116,4.70E-05,0.000470274,United States,USA,,,,Windows-10-10.0.22621-SP0,3.8.16,2.2.3,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,1,1 x NVIDIA GeForce RTX 2060,-97.822,37.751,15.91222,machine,N,1
2023-06-12T09:12:50,glue.sst2.AmericanizeBritishizeEnglish.num_rows=100,ef44ca4d-7f7e-46aa-a9da-bf68202487f8,26.96485209,0.000164936,6.12E-06,22.5,30.514,5.9670825,0.000167655,0.000223211,4.37E-05,0.000434533,United States,USA,,,,Windows-10-10.0.22621-SP0,3.8.16,2.2.3,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,1,1 x NVIDIA GeForce RTX 2060,-97.822,37.751,15.91222,machine,N,1
2023-06-12T09:13:23,glue.sst2.AntonymsSubstitute.num_rows=100,ff4200c9-c799-4f02-8694-3116dca57711,30.92385316,0.000190802,6.17E-06,22.5,30.815,5.9670825,0.000192783,0.000259921,5.00E-05,0.000502677,United States,USA,,,,Windows-10-10.0.22621-SP0,3.8.16,2.2.3,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,1,1 x NVIDIA GeForce RTX 2060,-97.822,37.751,15.91222,machine,N,1
2023-06-12T09:13:56,glue.sst2.AzertyQwertyCharsSwap.num_rows=100,df5ffe26-119f-479c-9feb-367b3fd24038,31.2184093,0.000192241,6.16E-06,22.5,30.653,5.9670825,0.000193846,0.000261967,5.07E-05,0.00050647,United States,USA,,,,Windows-10-10.0.22621-SP0,3.8.16,2.2.3,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,1,1 x NVIDIA GeForce RTX 2060,-97.822,37.751,15.91222,machine,N,1
2023-06-12T09:14:28,glue.sst2.ButterFingersPerturbation.num_rows=100,a195a782-c180-4880-b23a-0b58afc1aca3,29.1392622,0.000180155,6.18E-06,22.5,30.784,5.9670825,0.000181827,0.000245374,4.74E-05,0.000474627,United States,USA,,,,Windows-10-10.0.22621-SP0,3.8.16,2.2.3,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,1,1 x NVIDIA GeForce RTX 2060,-97.822,37.751,15.91222,machine,N,1
2023-06-12T09:14:59,glue.sst2.ChangeCharCase.num_rows=100,e917b115-c302-44f9-99d7-3b7e45d49f61,29.01235604,0.000178984,6.17E-06,22.5,30.78,5.9670825,0.000180051,0.000244405,4.71E-05,0.000471543,United States,USA,,,,Windows-10-10.0.22621-SP0,3.8.16,2.2.3,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,1,1 x NVIDIA GeForce RTX 2060,-97.822,37.751,15.91222,machine,N,1
2023-06-12T09:15:37,glue.sst2.ChangeDateFormat.num_rows=100,4b96bd95-1205-4e82-8d37-a923300f6aa1,35.77695179,0.000220921,6.17E-06,22.5,30.585,5.9670825,0.000223405,0.000300405,5.82E-05,0.000582029,United States,USA,,,,Windows-10-10.0.22621-SP0,3.8.16,2.2.3,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,1,1 x NVIDIA GeForce RTX 2060,-97.822,37.751,15.91222,machine,N,1
2023-06-12T09:16:07,glue.sst2.CityNamesTransformation.num_rows=100,5d969e7c-6a8d-4c0f-8fad-d42387e92a0d,28.82131195,0.000177008,6.14E-06,22.5,30.43,5.9670825,0.000179448,0.000240121,4.68E-05,0.000466337,United States,USA,,,,Windows-10-10.0.22621-SP0,3.8.16,2.2.3,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,1,1 x NVIDIA GeForce RTX 2060,-97.822,37.751,15.91222,machine,N,1
2023-06-12T09:16:38,glue.sst2.ColorTransformation.num_rows=100,53fdadad-9439-466f-8736-46f945628118,28.02092409,0.000172779,6.17E-06,22.5,30.872,5.9670825,0.000174728,0.000234963,4.55E-05,0.000455194,United States,USA,,,,Windows-10-10.0.22621-SP0,3.8.16,2.2.3,12,Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz,1,1 x NVIDIA GeForce RTX 2060,-97.822,37.751,15.91222,machine,N,1
